pos.x,pos.y,pos.z,bUse,nType,aRemarks
50.000000,550.000000,0.000000,1,0,WALL_TYPE_001
150.000000,550.000000,0.000000,1,0,WALL_TYPE_001
350.000000,525.000000,0.000000,1,1,WALL_TYPE_002
950.000000,550.000000,0.000000,1,0,WALL_TYPE_001
1050.000000,550.000000,0.000000,1,0,WALL_TYPE_001
1150.000000,550.000000,0.000000,1,0,WALL_TYPE_001
450.000000,525.000000,0.000000,1,1,WALL_TYPE_002
500.000000,525.000000,0.000000,1,1,WALL_TYPE_002
400.000000,525.000000,0.000000,1,1,WALL_TYPE_002
1175.000000,400.000000,0.000000,1,4,WALL_TYPE_GOAL
